cluster,total_violations,unique_junctions,unique_vehicles,avg_latitude,avg_longitude
0,64734,39,51406,12.971727835091409,77.57813966693325
2,34722,30,26877,12.987612555501018,77.54870238438195
1,22904,6,16716,12.981770851602944,77.60648322698891
4,2554,2,1256,12.992429796378392,77.58878711570127
5,2526,8,2206,12.928682828696084,77.5833249260703
19,2480,5,2210,12.943833396862404,77.57139118063031
14,1837,3,1703,12.953309940937629,77.54248368981538
21,1423,3,879,12.961935242023895,77.59832226430078
16,1375,4,1260,12.935313076363636,77.61494369105455
13,1020,2,894,12.988745358536073,77.53773404729156
17,877,1,790,12.97570339033303,77.56113258530867
32,814,6,744,12.978260805036856,77.59101978095823
10,623,3,590,12.938683009630818,77.5841870048154
22,618,1,494,12.90801301197411,77.60082311488674
15,567,3,498,12.916911473935377,77.57358722389928
48,507,1,423,12.965219731495775,77.64147287176542
45,432,2,357,12.924940160639201,77.6186010277789
6,403,2,333,12.945078661486459,77.5954594814144
33,395,5,366,12.949069787615427,77.57844464819168
20,393,2,367,12.912940289930976,77.58590328867932
12,382,4,368,12.953824938219896,77.59158532958115
30,369,1,328,12.9606350899729,77.52908120081301
9,364,1,306,12.996652109138907,77.58424717013389
7,337,1,317,12.926700667062313,77.55075739643917
29,335,3,282,12.911077419425098,77.57495565014925
41,322,4,282,12.938302360680787,77.57800476565052
51,295,2,256,12.961024260391683,77.63704339011642
24,287,1,271,12.913834755052266,77.60804398501742
23,273,2,219,12.930840945787546,77.60948076117216
36,267,2,229,12.936098038951311,77.60690947602995
26,257,2,249,12.960301253336421,77.64367349710949
40,240,2,212,12.917151740000001,77.59606377958333
8,214,1,203,12.936812727570093,77.6017393724299
42,204,3,196,12.960510950980392,77.56050639117647
3,201,2,182,12.988590471260592,77.59200602998645
35,197,2,178,12.917334204060914,77.57832199695432
52,178,2,165,12.981057320002567,77.58816596399701
25,162,2,162,12.948970416049383,77.5975986074074
47,151,1,145,12.944347354304636,77.52727193576159
49,139,1,132,12.975033675842067,77.60763016516664
58,133,3,124,12.967408043609023,77.59352732631578
31,121,1,116,12.920186070342098,77.62092555706415
44,116,1,72,12.951602436206898,77.60747275862069
50,116,2,112,12.922107481141687,77.58061997972999
11,111,4,101,12.985460432432431,77.59411936486487
39,109,3,106,12.919680010091744,77.58373659449542
60,98,2,92,12.958181686734694,77.55414244591837
37,97,2,85,12.964105745360824,77.55635760927835
57,93,1,90,12.90496774301075,77.58568733870968
59,90,1,88,12.979006655555557,77.56440130333334
46,88,1,86,12.976006710227272,77.53140559431819
34,82,1,57,12.947195884146343,77.59084023414634
38,81,1,78,12.922551949272538,77.6226293111187
54,78,2,78,12.90631343974359,77.59168939487179
56,76,1,72,12.973839813398559,77.56619814725528
18,68,1,66,12.90650944666958,77.57331784068656
53,65,3,62,12.985737600734074,77.58863057923075
61,61,1,54,12.927338608196722,77.59710771639344
27,61,1,58,12.920071939344261,77.61039949508198
55,60,1,59,12.967626765,77.57018326666666
62,55,1,46,12.954236334545456,77.57301299090909
28,53,1,50,13.011021298113208,77.58360525849058
43,53,1,52,12.987644150943396,77.59860536037735
