junction_name,total_violations,unique_vehicles,peak_violations,avg_latitude,avg_longitude,peak_hour_ratio,repeat_rate,unique_violation_types,unique_vehicle_types,violations_per_vehicle,severity_raw,severity_score,behavioral_score,density_score,IPII,risk_category,risk_rank,estimated_violations_prevented,estimated_enforcement_effort_saved,efficiency_score,impact_score,impact_rank,projection_type
Btp051 - Safina Plaza Junction,15449,11260,1156,12.981212065557246,77.60869513989651,0.0748268496342805,0.2711502362612467,75,18,1.3720248667850798,9.645364282325891,1.0,0.3361481611221742,0.386119527740048,67.81,High,5,3862,8,100.0,74.25,1,Simulation-Based Estimate
Btp082 - Kr Market Junction,11538,9667,3888,12.964423750642322,77.57724121294086,0.3369734789391576,0.1621598197261223,45,18,1.1935450501706837,9.353487881194669,0.9620912864627664,0.4348104239889103,0.2008777639358741,65.17,High,6,2884,8,74.67633350595545,67.07,2,Simulation-Based Estimate
Btp020 - Hosahalli Metro Station,4101,2332,129,12.97414419858571,77.54529421309437,0.0314557425018288,0.4313582053157766,22,15,1.7585763293310464,8.319229938632326,0.8277625503393642,0.4646940913421647,0.7873160108012156,71.08,Critical,3,1435,12,37.15691351631279,64.3,3,Simulation-Based Estimate
Btp040 - Elite Junction,10718,8450,1229,12.976596713370032,77.5766021547117,0.1146669154693039,0.2116066430304161,30,20,1.2684023668639053,9.27977314669152,0.9525172656000906,0.3073486761212908,0.2785711504539635,62.42,High,9,2680,8,69.39409632314863,63.81,4,Simulation-Based Estimate
Btp044 - Sagar Theatre Junction,10549,8189,999,12.974938996857006,77.57889570478889,0.0947009195184377,0.2237178879514646,31,20,1.2881914763707412,9.263881138904212,0.950453222161136,0.3037165496590142,0.2991099969112079,62.62,High,8,2637,8,68.28068358363542,63.75,5,Simulation-Based Estimate
Btp032 - Windsor Circle,2749,1521,216,12.99308791268715,77.58818366254266,0.0785740269188795,0.4467078937795562,44,13,1.8073635765943457,7.919356190660617,0.7758272129699537,0.5180291791051002,0.8379516283496649,71.09,Critical,2,962,12,24.90937338166753,61.85,6,Simulation-Based Estimate
Btp042 - Minsk Square Junction (Cto),2044,1041,37,12.981175736986302,77.59845689202544,0.0181017612524461,0.4907045009784735,18,11,1.9634966378482228,7.623153068476902,0.737356547769966,0.5144814090019569,1.0,72.3,Critical,1,715,12,18.51372345934749,61.54,7,Simulation-Based Estimate
Btp058 - Subbanna Junction,5189,3826,2193,12.979021616597574,77.57866101486218,0.4226247831952207,0.2626710348814801,24,20,1.3562467328802927,8.554488976159934,0.8583178382150353,0.6057466836338163,0.3697436180741623,68.48,High,4,1297,8,33.58363542206111,61.5,8,Simulation-Based Estimate
Btp027 - Modi Bridge Junction,4584,3346,245,12.998897494610553,77.54941567682627,0.0534467713787085,0.2700698080279232,23,15,1.369994022713688,8.430545384690566,0.8422201266988658,0.3179432035481687,0.3840117424176961,59.33,High,10,1146,8,29.673744174003108,53.4,9,Simulation-Based Estimate
"Btp011 - Rr Kalyana Mantapa, Dr. Rajkumar Road",1208,738,271,12.99369499669634,77.55379199356938,0.2243377483443708,0.3890728476821192,20,16,1.6368563685636857,7.097548850614793,0.6690914202993198,0.5759133196437178,0.6609845260965073,63.95,High,7,302,8,7.8197824961160025,52.72,10,Simulation-Based Estimate
Btp211 - Central Street Junction,5388,4590,669,12.983371022821446,77.60345435130863,0.1241648106904231,0.1481069042316258,54,19,1.1738562091503268,8.592115117933497,0.8632046965717822,0.250244367121353,0.1804429847711767,54.28,High,12,1347,8,34.87830139823925,50.4,11,Simulation-Based Estimate
Btp057 - Anand Rao Junction,3935,3352,821,12.979395373087677,77.57438830726811,0.2086404066073697,0.1481575603557814,37,18,1.1739260143198091,8.277920258172143,0.822397276419272,0.3178764595666621,0.1805154346031119,54.27,High,13,984,8,25.479026411185913,48.51,12,Simulation-Based Estimate
"Btp083 - As Char Street, Mysore Road",2778,2409,794,12.966450044406306,77.57440287238298,0.2858171346292296,0.132829373650108,41,15,1.153175591531756,7.929846429742503,0.7771896782694815,0.3639992908244309,0.1589788542218924,52.96,High,15,694,8,17.969963749352665,45.96,13,Simulation-Based Estimate
Btp172 - Nanjappa Circle,776,480,21,12.961702129381443,77.59948909484535,0.027061855670103,0.3814432989690721,6,11,1.6166666666666667,6.655440350367647,0.6116706612955453,0.4103185289492346,0.6400299102691925,55.69,High,11,194,8,5.023303987571206,45.56,14,Simulation-Based Estimate
Btp045 - Danvanthri Road Junction,3181,2787,507,12.97706512857592,77.57478964140208,0.159383841559258,0.1238604212511788,40,18,1.1413706494438465,8.065265208897733,0.7947777795570862,0.2537138035751279,0.1467266660728257,50.28,High,18,795,8,20.585189021232523,44.34,15,Simulation-Based Estimate
"Btp170 - Dr. Bheem Rao Palace, Chord Road",573,372,79,12.99037199306623,77.551225814101,0.137870855148342,0.3507853403141361,11,15,1.5403225806451613,6.352629396319567,0.572341775272368,0.467727010939259,0.5607934261730936,53.86,High,14,143,8,3.702744691869498,43.83,16,Simulation-Based Estimate
Btp023 - Mahalaxmi Layout Entrance,1807,1372,72,13.008974449496067,77.54920543394422,0.0398450470392916,0.2407304925290536,16,19,1.317055393586006,7.4999765409521215,0.7213584620105463,0.2771667289222536,0.3290674623360243,50.96,High,16,452,8,11.70378042465044,43.11,17,Simulation-Based Estimate
"Btp101 - Blood Bank Circle, Kh Road",410,254,2,12.961947537560976,77.59617864317073,0.0048780487804878,0.3804878048780488,6,9,1.6141732283464567,6.018593214496234,0.5289573773603252,0.3915978892590522,0.6374420046945778,50.94,High,17,102,8,2.641118591403418,41.28,18,Simulation-Based Estimate
"Btp001 - 10Th Cross, Dr. Rajkumar Road",2812,2515,390,13.007811443262298,77.55465340067576,0.1386913229018492,0.1056187766714082,14,16,1.1180914512922466,7.942006808489856,0.7787690602018715,0.2185725894861645,0.1225655042823816,47.95,Moderate,19,422,4,10.926980838943551,40.55,19,Simulation-Based Estimate
"Btp080 - Nr Road, Sp Road Junction",3681,3348,153,12.96439657572473,77.58316820553203,0.0415647921760391,0.0904645476772616,30,17,1.0994623655913978,8.211211361793023,0.8137331691690112,0.1254300667679114,0.1032306306885793,46.51,Moderate,22,552,4,14.293112377006734,40.07,20,Simulation-Based Estimate
"Btp016 - 5Th Main Road, Rpc Layout",2474,2156,117,12.965246043934677,77.5378432820211,0.0472918350848827,0.1285367825383993,16,19,1.147495361781076,7.813995675002791,0.7621430590242154,0.168805144791978,0.1530834213500498,46.23,Moderate,24,371,4,9.606421543241844,38.91,21,Simulation-Based Estimate
