junction_name,current_month,previous_month,growth_pct,trend,emerging_score
"Btp186 - 9Th Cross, 4Th Main, Jayanagar",275.0,10.0,2650.0,Emerging Hotspot,14894.1
"Btp024 - Nps, Vijayanagar",279.0,45.0,520.0,Emerging Hotspot,2930.1
"Btp188 - 27Th Cross, 4Th Main, Jayanagar",89.0,12.0,641.7,Emerging Hotspot,2887.5
Btp041 - Gopal Gowda Circle,92.0,15.0,513.3,Emerging Hotspot,2326.6
Btp048 - Shanthala Junction,380.0,108.0,251.9,Emerging Hotspot,1497.0
Btp069 - Mc Circle,324.0,92.0,252.2,Emerging Hotspot,1458.7
"Btp189 - New Diagonal Road, Jayanagar",92.0,32.0,187.5,Emerging Hotspot,849.9
Btp008 - Navarang Theatre,303.0,122.0,148.4,Emerging Hotspot,848.4
"Btp117 - 9Th Cross, Kanakapura Road",121.0,46.0,163.0,Emerging Hotspot,783.1
Btp063 - Siddalingaiah Circle,225.0,98.0,129.6,Emerging Hotspot,702.5
Btp130 - Gd Mara Junction,315.0,158.0,99.4,Emerging Hotspot,572.1
Btp057 - Anand Rao Junction,739.0,398.0,85.7,Emerging Hotspot,566.2
Btp135 - Uco Bank Junction,344.0,178.0,93.3,Emerging Hotspot,545.2
Btp074 - Leprosy Hospital Junction,274.0,147.0,86.4,Emerging Hotspot,485.3
Btp091 - Sirsi Circle,81.0,41.0,97.6,Emerging Hotspot,430.1
Btp211 - Central Street Junction,1093.0,700.0,56.1,Emerging Hotspot,392.6
"Btp070 - Cholurpalya Junction, Magadi Road",424.0,265.0,60.0,Emerging Hotspot,363.1
Btp105 - Shivasankara Circle,84.0,50.0,68.0,Emerging Hotspot,302.1
Btp032 - Windsor Circle,233.0,150.0,55.3,Emerging Hotspot,301.7
Btp042 - Minsk Square Junction (Cto),440.0,303.0,45.2,Emerging Hotspot,275.2
Btp045 - Danvanthri Road Junction,449.0,321.0,39.9,Emerging Hotspot,243.8
"Btp001 - 10Th Cross, Dr. Rajkumar Road",703.0,517.0,36.0,Emerging Hotspot,236.0
Btp054 - Shivananda Circle,116.0,80.0,45.0,Emerging Hotspot,214.3
Btp219 - Canara Bank Junction,61.0,41.0,48.8,Emerging Hotspot,201.4
Btp040 - Elite Junction,2025.0,1608.0,25.9,Emerging Hotspot,197.2
Btp058 - Subbanna Junction,872.0,676.0,29.0,Emerging Hotspot,196.4
Btp051 - Safina Plaza Junction,2980.0,2489.0,19.7,Stable,157.6
Btp068 - Veeresh Theatre Junction,111.0,87.0,27.6,Emerging Hotspot,130.2
"Btp011 - Rr Kalyana Mantapa, Dr. Rajkumar Road",253.0,208.0,21.6,Stable,119.6
