junction_name,year_month,violations
Btp051 - Safina Plaza Junction,2024-04,690
Btp040 - Elite Junction,2024-04,690
Btp044 - Sagar Theatre Junction,2024-04,587
Btp082 - Kr Market Junction,2024-04,533
Btp058 - Subbanna Junction,2024-04,456
Btp027 - Modi Bridge Junction,2024-04,249
Btp057 - Anand Rao Junction,2024-04,243
Btp108 - Tagore Park Junction,2024-04,195
"Btp001 - 10Th Cross, Dr. Rajkumar Road",2024-04,190
"Btp080 - Nr Road, Sp Road Junction",2024-04,187
Btp023 - Mahalaxmi Layout Entrance,2024-04,170
Btp045 - Danvanthri Road Junction,2024-04,167
Btp211 - Central Street Junction,2024-04,148
Btp104 - Medical College Circle,2024-04,131
"Btp186 - 9Th Cross, 4Th Main, Jayanagar",2024-04,125
Btp155 - Katriguppe Junction,2024-04,106
"Btp204 - Esi Hospital, Rajajinagar",2024-04,104
"Btp188 - 27Th Cross, 4Th Main, Jayanagar",2024-04,95
Btp008 - Navarang Theatre,2024-04,94
"Btp083 - As Char Street, Mysore Road",2024-04,91
"Btp011 - Rr Kalyana Mantapa, Dr. Rajkumar Road",2024-04,90
"Btp182 - 19Th Main Junction, Rajajinagar",2024-04,90
Btp215 - Vanivillas Junction,2024-04,85
"Btp070 - Cholurpalya Junction, Magadi Road",2024-04,80
Btp038 - Mysore Bank Junction,2024-04,76
Btp020 - Hosahalli Metro Station,2024-04,71
Btp130 - Gd Mara Junction,2024-04,69
Btp061 - Bhashyam Circle,2024-04,67
"Btp024 - Nps, Vijayanagar",2024-04,63
"Btp123 - 10Th Cross, Wilson Garden",2024-04,62
Btp074 - Leprosy Hospital Junction,2024-04,59
Btp205 - Modi Hospital Junction,2024-04,52
"Btp226 - 33Rd Cross, 11Th Main, Jayanagar",2024-04,49
Btp184 - Lalbagh West Gate,2024-04,49
Btp208 - Havanur Circle,2024-04,48
Btp043 - Upparpet Junction,2024-04,48
"Btp189 - New Diagonal Road, Jayanagar",2024-04,46
"Btp026 - 1St Block Junction, Rajajinagar",2024-04,44
Btp192 - Urvashi Theater,2024-04,43
Btp167 - Jc Road Junction,2024-04,43
Btp069 - Mc Circle,2024-04,42
Btp118 - Basappa Circle,2024-04,41
Btp048 - Shanthala Junction,2024-04,38
"Btp022 - Marenahalli Junction, Vijayanagar",2024-04,38
"Btp210 - 50Th Cross, 12Th Main , Rajajinagar",2024-04,37
Btp068 - Veeresh Theatre Junction,2024-04,34
Btp042 - Minsk Square Junction (Cto),2024-04,34
Btp063 - Siddalingaiah Circle,2024-04,33
Btp216 - Yediyur Junction,2024-04,32
Btp135 - Uco Bank Junction,2024-04,31
Btp010 - Rajajinagar Entrance,2024-04,31
Btp172 - Nanjappa Circle,2024-04,31
Btp076 - Hudson Circle,2024-04,31
"Btp170 - Dr. Bheem Rao Palace, Chord Road",2024-04,29
Btp109 - Dewan Madhava Rao Junction,2024-04,28
Btp126 - Dairy Circle,2024-04,27
Btp137 - Madiwala Traffic Ps Junction,2024-04,27
Btp054 - Shivananda Circle,2024-04,26
Btp030 - Mekhri Circle,2024-04,25
Btp071 - Prasanna Junction,2024-04,24
"Btp202 - East End Main Road, Jayanagar",2024-04,23
"Btp062 - Basava Mantapa, Dr. Rajkumar Road",2024-04,23
Btp032 - Windsor Circle,2024-04,21
"Btp016 - 5Th Main Road, Rpc Layout",2024-04,20
"Btp148 - 17Th Main, Doopanahalli Bus Stop",2024-04,20
Btp219 - Canara Bank Junction,2024-04,19
Btp009 - Prakash Nagar Junction,2024-04,18
Btp047 - Vidhan Soudha Metro Station,2024-04,18
Btp028 - Vijayanagar Bus Stand Junction,2024-04,18
Btp018 - Dhobi Ghat Junction,2024-04,17
"Btp093 - Toll Gate, Mysore Road",2024-04,16
Btp136 - Hosur-Tavarkere Road Junction,2024-04,15
Btp085 - Briyand Circle,2024-04,14
Btp091 - Sirsi Circle,2024-04,14
"Btp179 - 9Th Block, 28Th Main, Jayanagar",2024-04,13
Btp006 - Navarang Bar Junction,2024-04,13
"Btp089 - Police Quarters, Sultan Road",2024-04,13
Btp096 - Gali Anjaneya Temple,2024-04,13
Btp122 - Siddapura Junction,2024-04,12
"Btp102 - Bmtc Junction, Kh Road",2024-04,11
"Btp206 - Shankara Mutt Circle, Vijayanagar",2024-04,11
"Btp115 - Sahasra Hospital, Jayanagar",2024-04,10
Btp034 - Lrde Junction,2024-04,10
"Btp099 - Cash Pharmacy, Residency Road",2024-04,10
"Btp164 - 29Th Main Road, Btm Layout",2024-04,10
"Btp095 - Satellite Bus Stand, Mysore Road",2024-04,9
"Btp163 - 16Th Main Road, Btm Layout",2024-04,9
Btp166 - Coffee Board Junction,2024-04,9
Btp120 - Lalbagh Main Gate Junction,2024-04,9
"Btp127 - Sagar Hospital, Jayanagar",2024-04,9
Btp133 - Adugodi Junction,2024-04,9
Btp187 - South End Circle,2024-04,8
Btp132 - Anepalya Junction,2024-04,8
"Btp168 - Msr Building, Jc Road",2024-04,8
"Btp117 - 9Th Cross, Kanakapura Road",2024-04,8
Btp103 - Shanti Nagar Ttmc,2024-04,8
"Btp177 - Aurobindo Circle, Orr",2024-04,8
"Btp176 - Rajalakshmi Kalyana Mantapa, Jp Nagar",2024-04,7
Btp158 - Devegowda Petrol Bunk,2024-04,7
Btp067 - Jai Muni Rao Circle,2024-04,7
Btp037 - Kr Circle,2024-04,7
"Btp033 - Sophia High School, Sankey Road",2024-04,6
Btp138 - Sarjapur Road Check Post,2024-04,6
"Btp159 - Jp Nagar Metro, Orr",2024-04,6
Btp171 - Indian Express (Balekundri),2024-04,6
"Btp113 - 27Th Cross, Pai Vista, Kr Road",2024-04,6
Btp180 - Swagath Poornima Theatre,2024-04,6
Btp041 - Gopal Gowda Circle,2024-04,5
Btp225 - Geetha Junction,2024-04,5
"Btp145 - Sri Hatti Maramma Circle, Domluru",2024-04,5
Btp193 - Vasavi Circle,2024-04,5
Btp217 - Baleyele Junction,2024-04,5
Btp173 - Tmc,2024-04,4
Btp218 - Syndicate Bank Junction,2024-04,4
Btp140 - Madiwala Check Post,2024-04,4
Btp075 - Police Corner,2024-04,4
Btp098 - Nayandahalli Junction,2024-04,4
Btp052 - Cid Carlton House Junction,2024-04,4
Btp107 - National College Junction,2024-04,3
Btp119 - Minerva Circle,2024-04,3
"Btp015 - Suguna Hospital, Dr. Rajkumar Road",2024-04,3
Btp212 - Minto Junction,2024-04,3
Btp064 - Devanga Hostel Junction,2024-04,3
Btp092 - Bangalore Builders Junction,2024-04,3
Btp078 - Nr Square Junction,2024-04,3
Btp121 - Kh Circle,2024-04,3
Btp156 - Kamakya Junction,2024-04,2
Btp154 - Itmadu Junction,2024-04,2
Btp207 - 8Th Main Road Basaveshwara Nagar,2024-04,2
"Btp221 - 15Th Cross, 24Th Main, Jp Nagar",2024-04,2
"Btp190 - 36Th Cross, 4Th Main, Jayanagar",2024-04,2
Btp146 - Domlur Water Tank,2024-04,2
Btp035 - Basaweshwara Circle (Lh) Junction,2024-04,1
"Btp025 - Puttamma Choultry, Nagarbhavi",2024-04,1
"Btp110 - Bharathi Nursing Home, Basavanagudi",2024-04,1
"Btp114 - Kr Road Junction, Near Jss",2024-04,1
"Btp101 - Blood Bank Circle, Kh Road",2024-04,1
Btp106 - Vv Puram College,2024-04,1
"Btp094 - Sri Skanda Complex, Mysore Road",2024-04,1
Btp100 - Richmond Circle,2024-04,1
Btp077 - Halasuru Gate Junction,2024-04,1
Btp128 - Gorappanapalya Junction,2024-04,1
Btp157 - Kadirenahalli Cross,2024-04,1
Btp143 - Asc Junction,2024-04,1
"Btp191 - 40Th Cross, 4Th Main, Jayanagar",2024-04,1
Btp185 - Rv Teachers College,2024-04,1
Btp203 - Rrmr Junction,2024-04,1
"Btp200 - 15Th Cross, 33Rd Main, Jp Nagar",2024-04,1
Btp220 - Puttanna Junction,2024-04,1
Btp222 - Delmia Circle,2024-04,1
