cluster,total_violations,unique_junctions,unique_vehicles,avg_latitude,avg_longitude
0,64734,39,51406,12.971727835091409,77.57813966693325
2,34722,30,26877,12.987612555501018,77.54870238438195
1,22904,6,16716,12.981770851602944,77.60648322698891
4,2554,2,1256,12.992429796378392,77.58878711570127
5,2526,8,2206,12.928682828696084,77.5833249260703
19,2480,5,2210,12.943833396862404,77.57139118063031
14,1837,3,1703,12.953309940937629,77.54248368981538
21,1423,3,879,12.961935242023895,77.59832226430078
16,1375,4,1260,12.935313076363636,77.61494369105455
13,1020,2,894,12.988745358536073,77.53773404729156
